name,search_query,quartz_url,CPID,potential products,potential manufacturers,potential manufacturers google
Drywall Screws,Drywall Screws,http://quartzproject.org/p/CP079,CP079,https://www.specifiedby.com/search?q=Drywall Screws,https://www.specifiedby.com/search?q=Drywall Screws&type=companies&a=0,https://www.google.co.uk/search?q=Drywall Screws companies&type=companies&a=0
Drywall Screws,Screws,http://quartzproject.org/p/CP079,CP079,https://www.specifiedby.com/search?q=Screws,https://www.specifiedby.com/search?q=Screws&type=companies&a=0,https://www.google.co.uk/search?q=Screws companies&type=companies&a=0
Acrylic paint,Acrylic paint,http://quartzproject.org/p/CP081,CP081,https://www.specifiedby.com/search?q=Acrylic paint,https://www.specifiedby.com/search?q=Acrylic paint&type=companies&a=0,https://www.google.co.uk/search?q=Acrylic paint companies&type=companies&a=0
Acrylic paint,Latex Paint,http://quartzproject.org/p/CP081,CP081,https://www.specifiedby.com/search?q=Latex Paint,https://www.specifiedby.com/search?q=Latex Paint&type=companies&a=0,https://www.google.co.uk/search?q=Latex Paint companies&type=companies&a=0
Acrylic paint,Acrylic Latex Paint,http://quartzproject.org/p/CP081,CP081,https://www.specifiedby.com/search?q=Acrylic Latex Paint,https://www.specifiedby.com/search?q=Acrylic Latex Paint&type=companies&a=0,https://www.google.co.uk/search?q=Acrylic Latex Paint companies&type=companies&a=0
Drywall Joint Tape,Drywall Joint Tape,http://quartzproject.org/p/CP084,CP084,https://www.specifiedby.com/search?q=Drywall Joint Tape,https://www.specifiedby.com/search?q=Drywall Joint Tape&type=companies&a=0,https://www.google.co.uk/search?q=Drywall Joint Tape companies&type=companies&a=0
Drywall Joint Tape,Wallboard Tape,http://quartzproject.org/p/CP084,CP084,https://www.specifiedby.com/search?q=Wallboard Tape,https://www.specifiedby.com/search?q=Wallboard Tape&type=companies&a=0,https://www.google.co.uk/search?q=Wallboard Tape companies&type=companies&a=0
Drywall Joint Tape,Joint Tape,http://quartzproject.org/p/CP084,CP084,https://www.specifiedby.com/search?q=Joint Tape,https://www.specifiedby.com/search?q=Joint Tape&type=companies&a=0,https://www.google.co.uk/search?q=Joint Tape companies&type=companies&a=0
Drywall Joint Tape,Drywall Tape,http://quartzproject.org/p/CP084,CP084,https://www.specifiedby.com/search?q=Drywall Tape,https://www.specifiedby.com/search?q=Drywall Tape&type=companies&a=0,https://www.google.co.uk/search?q=Drywall Tape companies&type=companies&a=0
Drywall Joint Tape,Plasterboard Jointing Tape,http://quartzproject.org/p/CP084,CP084,https://www.specifiedby.com/search?q=Plasterboard Jointing Tape,https://www.specifiedby.com/search?q=Plasterboard Jointing Tape&type=companies&a=0,https://www.google.co.uk/search?q=Plasterboard Jointing Tape companies&type=companies&a=0
Drywall Acoustical Sealant,Drywall Acoustical Sealant,http://quartzproject.org/p/CP086,CP086,https://www.specifiedby.com/search?q=Drywall Acoustical Sealant,https://www.specifiedby.com/search?q=Drywall Acoustical Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Drywall Acoustical Sealant companies&type=companies&a=0
Drywall Acoustical Sealant,Acoustic Sealant,http://quartzproject.org/p/CP086,CP086,https://www.specifiedby.com/search?q=Acoustic Sealant,https://www.specifiedby.com/search?q=Acoustic Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Acoustic Sealant companies&type=companies&a=0
Drywall Acoustical Sealant,Acoustic Caulk,http://quartzproject.org/p/CP086,CP086,https://www.specifiedby.com/search?q=Acoustic Caulk,https://www.specifiedby.com/search?q=Acoustic Caulk&type=companies&a=0,https://www.google.co.uk/search?q=Acoustic Caulk companies&type=companies&a=0
Drywall Acoustical Sealant,Soundblocking Sealant,http://quartzproject.org/p/CP086,CP086,https://www.specifiedby.com/search?q=Soundblocking Sealant,https://www.specifiedby.com/search?q=Soundblocking Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Soundblocking Sealant companies&type=companies&a=0
Pipe Thread Sealant,Pipe Thread Sealant,http://quartzproject.org/p/CP089,CP089,https://www.specifiedby.com/search?q=Pipe Thread Sealant,https://www.specifiedby.com/search?q=Pipe Thread Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Pipe Thread Sealant companies&type=companies&a=0
Pipe Thread Sealant,Thread Sealant with PTFE,http://quartzproject.org/p/CP089,CP089,https://www.specifiedby.com/search?q=Thread Sealant with PTFE,https://www.specifiedby.com/search?q=Thread Sealant with PTFE&type=companies&a=0,https://www.google.co.uk/search?q=Thread Sealant with PTFE companies&type=companies&a=0
Pipe Thread Sealant,Pipe Thread Sealing Compound,http://quartzproject.org/p/CP089,CP089,https://www.specifiedby.com/search?q=Pipe Thread Sealing Compound,https://www.specifiedby.com/search?q=Pipe Thread Sealing Compound&type=companies&a=0,https://www.google.co.uk/search?q=Pipe Thread Sealing Compound companies&type=companies&a=0
Steel Pipe Hanger,Steel Pipe Hanger,http://quartzproject.org/p/CP090,CP090,https://www.specifiedby.com/search?q=Steel Pipe Hanger,https://www.specifiedby.com/search?q=Steel Pipe Hanger&type=companies&a=0,https://www.google.co.uk/search?q=Steel Pipe Hanger companies&type=companies&a=0
Solvent Weld Soil and Waste Pipe,Solvent Weld Soil and Waste Pipe,http://quartzproject.org/p/CP091,CP091,https://www.specifiedby.com/search?q=Solvent Weld Soil and Waste Pipe,https://www.specifiedby.com/search?q=Solvent Weld Soil and Waste Pipe&type=companies&a=0,https://www.google.co.uk/search?q=Solvent Weld Soil and Waste Pipe companies&type=companies&a=0
Copper Piping,Copper Piping,http://quartzproject.org/p/CP092,CP092,https://www.specifiedby.com/search?q=Copper Piping,https://www.specifiedby.com/search?q=Copper Piping&type=companies&a=0,https://www.google.co.uk/search?q=Copper Piping companies&type=companies&a=0
Copper Piping,Water pipe,http://quartzproject.org/p/CP092,CP092,https://www.specifiedby.com/search?q=Water pipe,https://www.specifiedby.com/search?q=Water pipe&type=companies&a=0,https://www.google.co.uk/search?q=Water pipe companies&type=companies&a=0
Copper Piping,Type M hard temper copper pipe,http://quartzproject.org/p/CP092,CP092,https://www.specifiedby.com/search?q=Type M hard temper copper pipe,https://www.specifiedby.com/search?q=Type M hard temper copper pipe&type=companies&a=0,https://www.google.co.uk/search?q=Type M hard temper copper pipe companies&type=companies&a=0
Copper Piping,Copper pipe,http://quartzproject.org/p/CP092,CP092,https://www.specifiedby.com/search?q=Copper pipe,https://www.specifiedby.com/search?q=Copper pipe&type=companies&a=0,https://www.google.co.uk/search?q=Copper pipe companies&type=companies&a=0
Intumescent firestop sealant,Intumescent firestop sealant,http://quartzproject.org/p/CP094,CP094,https://www.specifiedby.com/search?q=Intumescent firestop sealant,https://www.specifiedby.com/search?q=Intumescent firestop sealant&type=companies&a=0,https://www.google.co.uk/search?q=Intumescent firestop sealant companies&type=companies&a=0
Intumescent firestop sealant,Intumescent Elastomeric Firestopping Sealant,http://quartzproject.org/p/CP094,CP094,https://www.specifiedby.com/search?q=Intumescent Elastomeric Firestopping Sealant,https://www.specifiedby.com/search?q=Intumescent Elastomeric Firestopping Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Intumescent Elastomeric Firestopping Sealant companies&type=companies&a=0
Intumescent firestop sealant,Firestopping Sealant,http://quartzproject.org/p/CP094,CP094,https://www.specifiedby.com/search?q=Firestopping Sealant,https://www.specifiedby.com/search?q=Firestopping Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Firestopping Sealant companies&type=companies&a=0
Intumescent firestop sealant,Fire Barrier Sealant,http://quartzproject.org/p/CP094,CP094,https://www.specifiedby.com/search?q=Fire Barrier Sealant,https://www.specifiedby.com/search?q=Fire Barrier Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Fire Barrier Sealant companies&type=companies&a=0
Intumescent firestop sealant,Intumescent Acrylic Sealant,http://quartzproject.org/p/CP094,CP094,https://www.specifiedby.com/search?q=Intumescent Acrylic Sealant,https://www.specifiedby.com/search?q=Intumescent Acrylic Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Intumescent Acrylic Sealant companies&type=companies&a=0
Galvanized Steel Ducts,Galvanized Steel Ducts,http://quartzproject.org/p/CP095,CP095,https://www.specifiedby.com/search?q=Galvanized Steel Ducts,https://www.specifiedby.com/search?q=Galvanized Steel Ducts&type=companies&a=0,https://www.google.co.uk/search?q=Galvanized Steel Ducts companies&type=companies&a=0
Galvanized Steel Ducts,Steel Ducts,http://quartzproject.org/p/CP095,CP095,https://www.specifiedby.com/search?q=Steel Ducts,https://www.specifiedby.com/search?q=Steel Ducts&type=companies&a=0,https://www.google.co.uk/search?q=Steel Ducts companies&type=companies&a=0
Galvanized Steel Ducts,Duct,http://quartzproject.org/p/CP095,CP095,https://www.specifiedby.com/search?q=Duct,https://www.specifiedby.com/search?q=Duct&type=companies&a=0,https://www.google.co.uk/search?q=Duct companies&type=companies&a=0
Galvanized Steel Ducts,Ductwork,http://quartzproject.org/p/CP095,CP095,https://www.specifiedby.com/search?q=Ductwork,https://www.specifiedby.com/search?q=Ductwork&type=companies&a=0,https://www.google.co.uk/search?q=Ductwork companies&type=companies&a=0
Carbon Steel Sprinkler Pipe,Carbon Steel Sprinkler Pipe,http://quartzproject.org/p/CP096,CP096,https://www.specifiedby.com/search?q=Carbon Steel Sprinkler Pipe,https://www.specifiedby.com/search?q=Carbon Steel Sprinkler Pipe&type=companies&a=0,https://www.google.co.uk/search?q=Carbon Steel Sprinkler Pipe companies&type=companies&a=0
Carbon Steel Sprinkler Pipe,Carbon Steel Pipe for Fire Suppression Systems,http://quartzproject.org/p/CP096,CP096,https://www.specifiedby.com/search?q=Carbon Steel Pipe for Fire Suppression Systems,https://www.specifiedby.com/search?q=Carbon Steel Pipe for Fire Suppression Systems&type=companies&a=0,https://www.google.co.uk/search?q=Carbon Steel Pipe for Fire Suppression Systems companies&type=companies&a=0
Steel Conduit,Steel Conduit,http://quartzproject.org/p/CP100,CP100,https://www.specifiedby.com/search?q=Steel Conduit,https://www.specifiedby.com/search?q=Steel Conduit&type=companies&a=0,https://www.google.co.uk/search?q=Steel Conduit companies&type=companies&a=0
